,Name,POS,Age,HT,WT,College,Salary,Team
Malcolm Brogdon,Malcolm Brogdon,PG,29,"6' 5""",229 lbs,Virginia,"$21,700,000",boston-celtics
Jaylen Brown,Jaylen Brown,SG,25,"6' 6""",223 lbs,California,"$26,758,928",boston-celtics
JD Davison,JD Davison,G,19,"6' 3""",195 lbs,Alabama,--,boston-celtics
Danilo Gallinari,Danilo Gallinari,F,33,"6' 10""",236 lbs,--,"$20,475,000",boston-celtics
Sam Hauser,Sam Hauser,SF,24,"6' 8""",215 lbs,Virginia,"$313,737",boston-celtics
Al Horford,Al Horford,C,36,"6' 9""",240 lbs,Florida,"$27,000,000",boston-celtics
Mfiondu Kabengele,Mfiondu Kabengele,C,24,"6' 10""",250 lbs,Florida State,"$1,701,593",boston-celtics
Luke Kornet,Luke Kornet,F,27,"7' 2""",250 lbs,Vanderbilt,"$565,986",boston-celtics
Payton Pritchard,Payton Pritchard,PG,24,"6' 1""",195 lbs,Oregon,"$2,137,440",boston-celtics
Matt Ryan,Matt Ryan,F,25,"6' 7""",215 lbs,Chattanooga,--,boston-celtics
Marcus Smart,Marcus Smart,PG,28,"6' 4""",220 lbs,Oklahoma State,"$14,339,285",boston-celtics
Jayson Tatum,Jayson Tatum,SF,24,"6' 8""",210 lbs,Duke,"$28,103,500",boston-celtics
Brodric Thomas,Brodric Thomas,G,25,"6' 5""",185 lbs,Truman State,--,boston-celtics
Derrick White,Derrick White,PG,28,"6' 4""",190 lbs,Colorado,"$15,178,571",boston-celtics
Grant Williams,Grant Williams,PF,23,"6' 6""",236 lbs,Tennessee,"$2,617,800",boston-celtics
Robert Williams III,Robert Williams III,C,24,"6' 9""",237 lbs,Texas A&amp;M,"$3,661,976",boston-celtics
LaMarcus Aldridge,LaMarcus Aldridge,C,37,"6' 11""",250 lbs,Texas,"$1,669,178",brooklyn-nets
Nic Claxton,Nic Claxton,PF,23,"6' 11""",215 lbs,Georgia,"$1,782,621",brooklyn-nets
Seth Curry,Seth Curry,SG,31,"6' 2""",185 lbs,Duke,"$8,207,518",brooklyn-nets
Goran Dragic,Goran Dragic,PG,36,"6' 3""",190 lbs,--,"$460,463",brooklyn-nets
David Duke Jr.,David Duke Jr.,SF,22,"6' 4""",204 lbs,Providence,--,brooklyn-nets
Kevin Durant,Kevin Durant,PF,33,"6' 10""",240 lbs,Texas,"$42,018,900",brooklyn-nets
Blake Griffin,Blake Griffin,PF,33,"6' 9""",250 lbs,Oklahoma,"$1,669,178",brooklyn-nets
Joe Harris,Joe Harris,SF,30,"6' 6""",220 lbs,Virginia,"$17,357,143",brooklyn-nets
Kyrie Irving,Kyrie Irving,PG,30,"6' 2""",195 lbs,Duke,"$35,328,700",brooklyn-nets
Patty Mills,Patty Mills,PG,33,"6' 0""",180 lbs,Saint Mary's,"$5,890,000",brooklyn-nets
Royce O'Neale,Royce O'Neale,PF,29,"6' 5""",226 lbs,Baylor,"$8,800,000",brooklyn-nets
Day'Ron Sharpe,Day'Ron Sharpe,C,20,"6' 9""",265 lbs,North Carolina,"$2,009,040",brooklyn-nets
Ben Simmons,Ben Simmons,PG,26,"6' 11""",240 lbs,LSU,"$33,003,936",brooklyn-nets
Edmond Sumner,Edmond Sumner,PG,26,"6' 4""",196 lbs,Xavier,"$2,320,000",brooklyn-nets
Cam Thomas,Cam Thomas,SG,20,"6' 3""",210 lbs,LSU,"$2,036,280",brooklyn-nets
T.J. Warren,T.J. Warren,SF,28,"6' 8""",220 lbs,NC State,"$12,690,000",brooklyn-nets
Alondes Williams,Alondes Williams,G,23,"6' 5""",210 lbs,Wake Forest,--,brooklyn-nets
Ryan Arcidiacono,Ryan Arcidiacono,G,28,"6' 3""",195 lbs,Villanova,"$546,800",new-york-knicks
RJ Barrett,RJ Barrett,SG,22,"6' 6""",214 lbs,Duke,"$8,623,920",new-york-knicks
Jalen Brunson,Jalen Brunson,PG,25,"6' 1""",190 lbs,Villanova,"$1,802,057",new-york-knicks
Evan Fournier,Evan Fournier,SG,29,"6' 6""",205 lbs,--,"$17,000,000",new-york-knicks
Quentin Grimes,Quentin Grimes,SG,22,"6' 4""",210 lbs,Houston,"$2,168,760",new-york-knicks
Isaiah Hartenstein,Isaiah Hartenstein,C,24,"7' 0""",250 lbs,--,"$1,669,178",new-york-knicks
Feron Hunt,Feron Hunt,F,23,"6' 8""",195 lbs,SMU,--,new-york-knicks
Trevor Keels,Trevor Keels,F,18,"6' 4""",221 lbs,Duke,--,new-york-knicks
Miles McBride,Miles McBride,PG,21,"6' 1""",195 lbs,West Virginia,"$925,258",new-york-knicks
Immanuel Quickley,Immanuel Quickley,SG,23,"6' 3""",190 lbs,Kentucky,"$2,210,640",new-york-knicks
Julius Randle,Julius Randle,PF,27,"6' 8""",250 lbs,Kentucky,"$21,780,000",new-york-knicks
Cam Reddish,Cam Reddish,SF,22,"6' 8""",217 lbs,Duke,"$4,670,160",new-york-knicks
Mitchell Robinson,Mitchell Robinson,C,24,"7' 0""",240 lbs,--,"$1,802,057",new-york-knicks
Derrick Rose,Derrick Rose,PG,33,"6' 2""",200 lbs,Memphis,"$13,445,120",new-york-knicks
Jericho Sims,Jericho Sims,PF,23,"6' 9""",250 lbs,Texas,--,new-york-knicks
Obi Toppin,Obi Toppin,PF,24,"6' 9""",220 lbs,Dayton,"$5,105,160",new-york-knicks
Charles Bassey,Charles Bassey,C,21,"6' 9""",230 lbs,Western Kentucky,"$925,258",philadelphia-76ers
Charlie Brown Jr.,Charlie Brown Jr.,G,25,"6' 6""",199 lbs,Saint Joseph's,"$1,701,593",philadelphia-76ers
Julian Champagnie,Julian Champagnie,G,--,"6' 8""",215 lbs,St. John's,--,philadelphia-76ers
Joel Embiid,Joel Embiid,C,28,"7' 0""",280 lbs,Kansas,"$31,579,390",philadelphia-76ers
Michael Foster Jr.,Michael Foster Jr.,F,--,"6' 9""",220 lbs,--,--,philadelphia-76ers
James Harden,James Harden,SG,32,"6' 5""",220 lbs,Arizona State,"$44,310,840",philadelphia-76ers
Tobias Harris,Tobias Harris,PF,30,"6' 7""",226 lbs,Tennessee,"$35,995,950",philadelphia-76ers
Danuel House Jr.,Danuel House Jr.,SF,29,"6' 6""",220 lbs,Texas A&amp;M,"$565,986",philadelphia-76ers
Isaiah Joe,Isaiah Joe,SG,23,"6' 4""",165 lbs,Arkansas,"$1,517,981",philadelphia-76ers
Furkan Korkmaz,Furkan Korkmaz,SG,25,"6' 7""",202 lbs,--,"$4,629,630",philadelphia-76ers
Tyrese Maxey,Tyrese Maxey,PG,21,"6' 2""",200 lbs,Kentucky,"$2,602,920",philadelphia-76ers
De'Anthony Melton,De'Anthony Melton,SG,24,"6' 2""",200 lbs,USC,"$8,805,976",philadelphia-76ers
Paul Millsap,Paul Millsap,PF,37,"6' 7""",257 lbs,Louisiana Tech,"$1,669,178",philadelphia-76ers
Shake Milton,Shake Milton,SG,25,"6' 5""",205 lbs,SMU,"$1,846,738",philadelphia-76ers
Georges Niang,Georges Niang,SF,29,"6' 7""",230 lbs,Iowa State,"$3,300,000",philadelphia-76ers
Myles Powell,Myles Powell,G,25,"6' 2""",195 lbs,Seton Hall,--,philadelphia-76ers
Paul Reed,Paul Reed,SF,23,"6' 9""",210 lbs,DePaul,"$1,517,981",philadelphia-76ers
Jaden Springer,Jaden Springer,G,19,"6' 4""",202 lbs,Tennessee,"$2,023,800",philadelphia-76ers
Matisse Thybulle,Matisse Thybulle,SG,25,"6' 5""",201 lbs,Washington,"$2,840,160",philadelphia-76ers
P.J. Tucker,P.J. Tucker,PF,37,"6' 5""",245 lbs,Texas,"$7,000,000",philadelphia-76ers
Precious Achiuwa,Precious Achiuwa,PF,22,"6' 8""",225 lbs,Memphis,"$2,711,280",toronto-raptors
OG Anunoby,OG Anunoby,SF,25,"6' 7""",232 lbs,Indiana,"$16,071,429",toronto-raptors
Dalano Banton,Dalano Banton,PG,22,"6' 7""",203 lbs,Nebraska,"$925,258",toronto-raptors
Scottie Barnes,Scottie Barnes,SF,20,"6' 7""",225 lbs,Florida State,"$7,280,520",toronto-raptors
Khem Birch,Khem Birch,C,29,"6' 9""",233 lbs,UNLV,"$6,350,000",toronto-raptors
Isaac Bonga,Isaac Bonga,G,22,"6' 8""",180 lbs,--,"$1,669,178",toronto-raptors
Chris Boucher,Chris Boucher,PF,29,"6' 9""",200 lbs,Oregon,"$7,020,000",toronto-raptors
Armoni Brooks,Armoni Brooks,SG,24,"6' 3""",195 lbs,Houston,"$136,926",toronto-raptors
Jeff Dowtin,Jeff Dowtin,G,25,"6' 3""",185 lbs,Rhode Island,--,toronto-raptors
Malachi Flynn,Malachi Flynn,PG,24,"6' 1""",175 lbs,San Diego State,"$2,048,040",toronto-raptors
Ron Harper Jr.,Ron Harper Jr.,G,22,"6' 6""",245 lbs,Rutgers,--,toronto-raptors
Juancho Hernangomez,Juancho Hernangomez,F,26,"6' 9""",214 lbs,--,"$6,907,815",toronto-raptors
David Johnson,David Johnson,PG,21,"6' 4""",209 lbs,Louisville,--,toronto-raptors
Christian Koloko,Christian Koloko,F,22,"7' 1""",230 lbs,Arizona,--,toronto-raptors
Svi Mykhailiuk,Svi Mykhailiuk,SG,25,"6' 7""",205 lbs,Kansas,"$1,729,217",toronto-raptors
Otto Porter Jr.,Otto Porter Jr.,SF,29,"6' 8""",198 lbs,Georgetown,"$1,669,178",toronto-raptors
Pascal Siakam,Pascal Siakam,PF,28,"6' 8""",230 lbs,New Mexico State,"$33,003,936",toronto-raptors
Gary Trent Jr.,Gary Trent Jr.,SG,23,"6' 5""",209 lbs,Duke,"$16,000,000",toronto-raptors
Fred VanVleet,Fred VanVleet,SG,28,"6' 1""",197 lbs,Wichita State,"$19,675,926",toronto-raptors
Yuta Watanabe,Yuta Watanabe,SF,27,"6' 9""",215 lbs,George Washington,"$1,762,796",toronto-raptors
Thaddeus Young,Thaddeus Young,PF,34,"6' 8""",235 lbs,Georgia Tech,"$14,190,000",toronto-raptors
Lonzo Ball,Lonzo Ball,PG,24,"6' 6""",190 lbs,UCLA,"$18,604,651",chicago-bulls
Tony Bradley,Tony Bradley,C,24,"6' 10""",248 lbs,North Carolina,"$1,669,178",chicago-bulls
Alex Caruso,Alex Caruso,SG,28,"6' 5""",186 lbs,Texas A&amp;M,"$8,650,651",chicago-bulls
Tyler Cook,Tyler Cook,F,24,"6' 8""",255 lbs,Iowa,"$1,701,593",chicago-bulls
DeMar DeRozan,DeMar DeRozan,SF,32,"6' 6""",220 lbs,USC,"$26,000,000",chicago-bulls
Ayo Dosunmu,Ayo Dosunmu,SG,22,"6' 4""",200 lbs,Illinois,"$925,258",chicago-bulls
Andre Drummond,Andre Drummond,C,28,"6' 10""",279 lbs,Connecticut,"$1,669,178",chicago-bulls
Javonte Green,Javonte Green,SF,29,"6' 5""",205 lbs,Radford,"$1,669,178",chicago-bulls
Malcolm Hill,Malcolm Hill,F,26,"6' 6""",220 lbs,Illinois,--,chicago-bulls
Derrick Jones Jr.,Derrick Jones Jr.,SF,25,"6' 6""",210 lbs,UNLV,"$9,720,900",chicago-bulls
Zach LaVine,Zach LaVine,SG,27,"6' 5""",200 lbs,UCLA,"$19,500,000",chicago-bulls
Marko Simonovic,Marko Simonovic,C,22,"6' 11""",220 lbs,--,"$925,258",chicago-bulls
Dalen Terry,Dalen Terry,G,20,"6' 7""",195 lbs,Arizona,--,chicago-bulls
Matt Thomas,Matt Thomas,SG,27,"6' 3""",190 lbs,Iowa State,"$1,669,178",chicago-bulls
Tristan Thompson,Tristan Thompson,C,31,"6' 9""",254 lbs,Texas,"$1,000,000",chicago-bulls
Nikola Vucevic,Nikola Vucevic,C,31,"6' 10""",260 lbs,USC,"$24,000,000",chicago-bulls
Coby White,Coby White,PG,22,"6' 4""",195 lbs,North Carolina,"$5,837,760",chicago-bulls
Patrick Williams,Patrick Williams,PF,20,"6' 7""",215 lbs,Florida State,"$7,422,000",chicago-bulls
Ochai Agbaji,Ochai Agbaji,F,22,"6' 5""",215 lbs,Kansas,--,cleveland-cavaliers
Jarrett Allen,Jarrett Allen,C,24,"6' 10""",243 lbs,Texas,"$20,000,000",cleveland-cavaliers
Moses Brown,Moses Brown,C,22,"7' 2""",245 lbs,UCLA,"$19,186",cleveland-cavaliers
