,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Malcolm Brogdon,Malcolm Brogdon,PG,29,77.0,229.0,Virginia,21700000.0,boston-celtics,2566769,https://www.espn.com/nba/player/_/id/2566769/malcolm-brogdon,Career,333.0,30.2,46.4,37.6,88.1,4.2,4.8,0.2,0.9,1.9,1.8,15.5
Jaylen Brown,Jaylen Brown,SG,25,78.0,223.0,California,26758928.0,boston-celtics,3917376,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Career,403.0,28.7,47.3,37.3,71.2,4.9,2.0,0.4,0.9,2.5,1.9,16.5
Bruno Caboclo,Bruno Caboclo,F,26,81.0,218.0,--,0.0,boston-celtics,3113297,https://www.espn.com/nba/player/_/id/3113297/bruno-caboclo,Career,105.0,12.3,40.3,30.8,83.6,2.6,0.7,0.6,0.3,1.3,0.7,4.2
JD Davison,JD Davison,G,19,75.0,195.0,Alabama,0.0,boston-celtics,4576085,https://www.espn.com/nba/player/_/id/4576085/jd-davison,,,,,,,,,,,,,
Danilo Gallinari,Danilo Gallinari,F,34,82.0,236.0,--,20475000.0,boston-celtics,3428,https://www.espn.com/nba/player/_/id/3428/danilo-gallinari,Career,728.0,29.9,42.8,38.2,87.7,4.8,1.9,0.4,0.7,1.8,1.2,15.6
Sam Hauser,Sam Hauser,SF,24,80.0,215.0,Virginia,313737.0,boston-celtics,4065804,https://www.espn.com/nba/player/_/id/4065804/sam-hauser,Career,26.0,6.1,46.0,43.2,0.0,1.1,0.4,0.1,0.0,0.3,0.1,2.5
Al Horford,Al Horford,C,36,81.0,240.0,Florida,27000000.0,boston-celtics,3213,https://www.espn.com/nba/player/_/id/3213/al-horford,Career,950.0,32.2,51.5,36.0,75.9,8.2,3.3,1.2,0.8,2.2,1.5,13.7
Mfiondu Kabengele,Mfiondu Kabengele,C,25,82.0,250.0,Florida State,1701593.0,boston-celtics,4065660,https://www.espn.com/nba/player/_/id/4065660/mfiondu-kabengele,Career,51.0,6.7,38.8,31.4,84.0,1.4,0.4,0.3,0.2,0.9,0.3,2.7
Luke Kornet,Luke Kornet,F,27,86.0,250.0,Vanderbilt,565986.0,boston-celtics,3064560,https://www.espn.com/nba/player/_/id/3064560/luke-kornet,Career,148.0,14.3,40.8,32.4,75.3,2.6,1.0,0.8,0.4,1.0,0.4,5.5
Payton Pritchard,Payton Pritchard,PG,24,73.0,195.0,Oregon,2137440.0,boston-celtics,4066354,https://www.espn.com/nba/player/_/id/4066354/payton-pritchard,Career,137.0,16.6,43.5,41.2,92.4,2.1,1.9,0.1,0.4,1.2,0.7,6.9
