,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Malcolm Brogdon,Malcolm Brogdon,PG,29,"6' 5""",229 lbs,Virginia,"$21,700,000",boston-celtics,2566769,https://www.espn.com/nba/player/_/id/2566769/malcolm-brogdon,Career,333,30.2,46.4,37.6,88.1,4.2,4.8,0.2,0.9,1.9,1.8,15.5
Jaylen Brown,Jaylen Brown,SG,25,"6' 6""",223 lbs,California,"$26,758,928",boston-celtics,3917376,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Career,403,28.7,47.3,37.3,71.2,4.9,2.0,0.4,0.9,2.5,1.9,16.5
Bruno Caboclo,Bruno Caboclo,F,26,"6' 9""",218 lbs,--,--,boston-celtics,3113297,https://www.espn.com/nba/player/_/id/3113297/bruno-caboclo,Career,105,12.3,40.3,30.8,83.6,2.6,0.7,0.6,0.3,1.3,0.7,4.2
JD Davison,JD Davison,G,19,"6' 3""",195 lbs,Alabama,--,boston-celtics,4576085,https://www.espn.com/nba/player/_/id/4576085/jd-davison,,,,,,,,,,,,,
Danilo Gallinari,Danilo Gallinari,F,34,"6' 10""",236 lbs,--,"$20,475,000",boston-celtics,3428,https://www.espn.com/nba/player/_/id/3428/danilo-gallinari,Career,728,29.9,42.8,38.2,87.7,4.8,1.9,0.4,0.7,1.8,1.2,15.6
Sam Hauser,Sam Hauser,SF,24,"6' 8""",215 lbs,Virginia,"$313,737",boston-celtics,4065804,https://www.espn.com/nba/player/_/id/4065804/sam-hauser,Career,26,6.1,46.0,43.2,0.0,1.1,0.4,0.1,0.0,0.3,0.1,2.5
Al Horford,Al Horford,C,36,"6' 9""",240 lbs,Florida,"$27,000,000",boston-celtics,3213,https://www.espn.com/nba/player/_/id/3213/al-horford,Career,950,32.2,51.5,36.0,75.9,8.2,3.3,1.2,0.8,2.2,1.5,13.7
Mfiondu Kabengele,Mfiondu Kabengele,C,24,"6' 10""",250 lbs,Florida State,"$1,701,593",boston-celtics,4065660,https://www.espn.com/nba/player/_/id/4065660/mfiondu-kabengele,Career,51,6.7,38.8,31.4,84.0,1.4,0.4,0.3,0.2,0.9,0.3,2.7
Luke Kornet,Luke Kornet,F,27,"7' 2""",250 lbs,Vanderbilt,"$565,986",boston-celtics,3064560,https://www.espn.com/nba/player/_/id/3064560/luke-kornet,Career,148,14.3,40.8,32.4,75.3,2.6,1.0,0.8,0.4,1.0,0.4,5.5
Payton Pritchard,Payton Pritchard,PG,24,"6' 1""",195 lbs,Oregon,"$2,137,440",boston-celtics,4066354,https://www.espn.com/nba/player/_/id/4066354/payton-pritchard,Career,137,16.6,43.5,41.2,92.4,2.1,1.9,0.1,0.4,1.2,0.7,6.9
Matt Ryan,Matt Ryan,F,25,"6' 7""",215 lbs,Chattanooga,--,boston-celtics,3908336,https://www.espn.com/nba/player/_/id/3908336/matt-ryan,Career,1,5.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Marcus Smart,Marcus Smart,PG,28,"6' 4""",220 lbs,Oklahoma State,"$14,339,285",boston-celtics,2990992,https://www.espn.com/nba/player/_/id/2990992/marcus-smart,Career,520,29.8,38.2,32.1,78.0,3.6,4.5,0.4,1.6,2.6,1.8,10.5
Jayson Tatum,Jayson Tatum,SF,24,"6' 8""",210 lbs,Duke,"$28,103,500",boston-celtics,4065648,https://www.espn.com/nba/player/_/id/4065648/jayson-tatum,Career,365,33.4,45.6,38.3,84.4,6.6,3.0,0.7,1.1,2.1,2.1,20.9
Brodric Thomas,Brodric Thomas,G,25,"6' 5""",185 lbs,Truman State,--,boston-celtics,4407254,https://www.espn.com/nba/player/_/id/4407254/brodric-thomas,Career,44,10.4,37.3,26.5,66.7,1.4,0.9,0.3,0.4,1.1,0.6,3.3
Noah Vonleh,Noah Vonleh,F,26,"6' 10""",257 lbs,Indiana,--,boston-celtics,3078284,https://www.espn.com/nba/player/_/id/3078284/noah-vonleh,Career,339,16.8,45.9,30.8,69.1,5.1,0.8,0.4,0.4,1.8,0.8,4.9
Derrick White,Derrick White,PG,28,"6' 4""",190 lbs,Colorado,"$15,178,571",boston-celtics,3078576,https://www.espn.com/nba/player/_/id/3078576/derrick-white,Career,263,25.9,44.2,34.0,83.8,3.3,3.8,0.8,0.8,2.2,1.3,11.5
Grant Williams,Grant Williams,PF,23,"6' 6""",236 lbs,Tennessee,"$2,617,800",boston-celtics,4066218,https://www.espn.com/nba/player/_/id/4066218/grant-williams,Career,209,19.4,44.9,36.9,77.5,3.0,1.0,0.6,0.5,2.4,0.8,5.4
Robert Williams III,Robert Williams III,C,24,"6' 9""",237 lbs,Texas A&amp;M,"$3,661,976",boston-celtics,4066211,https://www.espn.com/nba/player/_/id/4066211/robert-williams-iii,Career,174,19.9,72.8,0.0,66.5,6.6,1.4,1.7,0.7,1.9,0.8,7.2
LaMarcus Aldridge,LaMarcus Aldridge,C,37,"6' 11""",250 lbs,Texas,"$1,669,178",brooklyn-nets,2983,https://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge,Career,1076,33.7,49.3,32.0,81.3,8.1,1.9,1.1,0.7,2.4,1.5,19.1
Nic Claxton,Nic Claxton,PF,23,"6' 11""",215 lbs,Georgia,"$1,782,621",brooklyn-nets,4278067,https://www.espn.com/nba/player/_/id/4278067/nic-claxton,Career,94,18.7,64.6,16.7,53.9,5.0,0.9,1.1,0.5,2.0,0.7,7.3
Seth Curry,Seth Curry,SG,31,"6' 2""",185 lbs,Duke,"$8,207,518",brooklyn-nets,2326307,https://www.espn.com/nba/player/_/id/2326307/seth-curry,Career,377,25.2,47.7,43.9,85.4,2.2,2.2,0.1,0.7,1.7,1.1,11.3
